127.0.0.1, 2013-07-10 11:40:42, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.242397
127.0.0.1, 2013-07-10 11:41:18, GET, /codespert/trainings.html, HTTP/1.1, 400, 0.000350
127.0.0.1, 2013-07-10 11:41:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000324
127.0.0.1, 2013-07-10 11:42:39, GET, /default/trainings, HTTP/1.1, 404, 0.000568
127.0.0.1, 2013-07-10 11:42:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000333
127.0.0.1, 2013-07-10 11:43:01, GET, /admin/default/index, HTTP/1.1, 303, 0.008893
127.0.0.1, 2013-07-10 11:43:01, GET, /admin/default/site, HTTP/1.1, 200, 0.064155
127.0.0.1, 2013-07-10 11:43:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
127.0.0.1, 2013-07-10 11:43:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000323
127.0.0.1, 2013-07-10 11:43:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000320
127.0.0.1, 2013-07-10 11:43:04, GET, /codespert/default/index, HTTP/1.1, 200, 0.582748
127.0.0.1, 2013-07-10 11:43:11, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.256609
127.0.0.1, 2013-07-10 11:43:11, GET, /favicon.ico, HTTP/1.1, 400, 0.001403
127.0.0.1, 2013-07-10 11:44:52, GET, /codespert/default/index, HTTP/1.1, 200, 0.578403
127.0.0.1, 2013-07-10 11:45:59, GET, /codespert/default/trainings, HTTP/1.1, 200, 1.749024
127.0.0.1, 2013-07-10 11:49:41, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.118835
127.0.0.1, 2013-07-10 11:58:07, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.118757
127.0.0.1, 2013-07-10 11:58:10, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.551715
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.545320
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000998
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/js/jquery.js, HTTP/1.1, 304, 0.001047
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/js/calendar.js, HTTP/1.1, 304, 0.000959
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/js/web2py.js, HTTP/1.1, 304, 0.000433
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/css/web2py.css, HTTP/1.1, 304, 0.000423
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000425
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/css/calendar.css, HTTP/1.1, 304, 0.001030
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000986
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001007
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000400
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000394
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/js/share.js, HTTP/1.1, 304, 0.000395
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/images/twitter.png, HTTP/1.1, 304, 0.000437
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/images/facebook.png, HTTP/1.1, 304, 0.000471
127.0.0.1, 2013-07-10 11:58:12, GET, /codespert/static/images/gplus-32.png, HTTP/1.1, 304, 0.000394
127.0.0.1, 2013-07-10 11:58:16, GET, /codespert/static/js/jquery-1.10.0.min.map, HTTP/1.1, 404, 0.000869
127.0.0.1, 2013-07-10 11:58:25, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.117111
127.0.0.1, 2013-07-10 11:58:25, GET, /codespert/static/js/jquery-1.10.0.min.map, HTTP/1.1, 404, 0.000834
127.0.0.1, 2013-07-10 11:58:45, GET, /, HTTP/1.1, 303, 0.000823
127.0.0.1, 2013-07-10 11:58:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.602086
127.0.0.1, 2013-07-10 11:59:12, GET, /welcome/default/trainings, HTTP/1.1, 404, 0.225781
127.0.0.1, 2013-07-10 11:59:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000841
127.0.0.1, 2013-07-10 11:59:20, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.566736
127.0.0.1, 2013-07-10 11:59:50, GET, /codespert/default/trainings, HTTP/1.1, 200, 0.537825
127.0.0.1, 2013-07-10 11:59:51, GET, /codespert/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001090
